Source,Species,decimalLongitude,decimalLatitude
GBIF,Quercus engelmannii,-116.57123,32.86876
SEINET,Quercus engelmanii Greene.,-117.02389,32.87889
GBIF,Quercus engelmannii,-116.900602,32.881253
GBIF,Quercus engelmannii,-116.9,32.88139
GBIF,Quercus engelmannii,-116.74528,32.88167
GBIF,Quercus engelmannii,-117.2166,32.8859
GBIF,Quercus engelmannii,-116.81364,32.88834
GBIF,Quercus engelmannii,-116.81939,32.89069
GBIF,Quercus engelmannii,-116.8194,32.89074
GBIF,Quercus engelmannii,-116.79698,32.895989
GBIF,Quercus engelmannii,-116.80784,32.89784
GBIF,Quercus engelmannii,-116.99139,32.90722
GBIF,Quercus engelmannii,-116.9243,32.91077
GBIF,Quercus engelmannii,-116.897537,32.913197
GBIF,Quercus engelmannii,-116.897565,32.913354
GBIF,Quercus engelmannii,-116.8197,32.9148
GBIF,Quercus engelmannii,-116.808333,32.916667
GBIF,Quercus engelmannii,-116.61667,32.91667
GBIF,Quercus engelmannii,-116.80833,32.91667
GBIF,Quercus engelmannii,-116.878777,32.916912
GBIF,Quercus engelmannii,-116.617,32.917
GBIF,Quercus engelmannii,-116.880569,32.918233
GBIF,Quercus engelmannii,-116.80415,32.92546
GBIF,Quercus engelmannii,-116.80419,32.9255
GBIF,Quercus engelmannii,-116.79386,32.9256
GBIF,Quercus engelmannii,-116.558933,32.92854
GBIF,Quercus engelmannii,-117.2,32.9333
GBIF,Quercus engelmannii,-116.63333,32.93333
GBIF,Quercus engelmannii,-116.79403,32.93799
GBIF,Quercus engelmannii,-117.247658,32.941331
GBIF,Quercus engelmannii,-117.12081,32.94205
GBIF,Quercus engelmannii,-117.106736,32.944689
GBIF,Quercus engelmannii,-116.539497,32.94897
GBIF,Quercus engelmannii,-116.78842,32.95161
GBIF,Quercus engelmannii,-116.788389,32.951611
GBIF,Quercus engelmannii,-116.79091,32.95557
GBIF,Quercus engelmannii,-116.580753,32.958758
GBIF,Quercus engelmannii,-116.656053,32.959328
GBIF,Quercus engelmannii,-116.657242,32.963858
GBIF,Quercus engelmannii,-116.659522,32.964572
GBIF,Quercus engelmannii,-116.656083,32.965637
GBIF,Quercus engelmannii,-117.187476,32.969178
GBIF,Quercus engelmannii,-116.66043,32.969413
GBIF,Quercus engelmannii,-116.952225,32.97282
GBIF,Quercus engelmannii,-116.673439,32.973108
GBIF,Quercus engelmannii,-116.66667,32.975
GBIF,Quercus engelmannii,-116.66667,32.975
GBIF,Quercus engelmannii,-116.68216,32.9845
GBIF,Quercus engelmannii,-116.682194,32.9845
GBIF,Quercus engelmannii,-116.682944,32.984583
GBIF,Quercus engelmannii,-116.671844,32.985733
GBIF,Quercus engelmannii,-116.658558,32.989427
GBIF,Quercus engelmannii,-116.73469,32.98956
GBIF,Quercus engelmannii,-116.73026,32.98982
GBIF,Quercus engelmannii,-116.681,32.991
GBIF,Quercus engelmannii,-116.68104,32.99101
GBIF,Quercus engelmannii,-116.67096,32.99227
GBIF,Quercus engelmannii,-116.748708,32.993173
GBIF,Quercus engelmannii,-116.937478,32.99673
GBIF,Quercus engelmannii,-116.937997,32.996753
GBIF,Quercus engelmannii,-116.93802,32.996945
GBIF,Quercus engelmannii,-116.84944,32.9975
GBIF,Quercus engelmannii,-116.84944,32.9975
GBIF,Quercus engelmannii,-116.925593,32.999921
GBIF,Quercus engelmannii,-116.771433,33.0009
GBIF,Quercus engelmannii,-116.966308,33.005203
GBIF,Quercus engelmannii,-116.9681,33.0072
GBIF,Quercus engelmannii,-116.64474,33.01005
GBIF,Quercus engelmannii,-116.625,33.0125
GBIF,Quercus engelmannii,-116.738107,33.013885
GBIF,Quercus engelmannii,-116.7381,33.013903
GBIF,Quercus engelmannii,-116.63289,33.015413
GBIF,Quercus engelmannii,-116.821464,33.015553
GBIF,Quercus engelmannii,-116.821677,33.015588
GBIF,Quercus engelmannii,-116.739631,33.015692
GBIF,Quercus engelmannii,-117.025703,33.016194
GBIF,Quercus engelmannii,-116.985597,33.016261
GBIF,Quercus engelmannii,-116.70833,33.01667
GBIF,Quercus engelmannii,-116.625,33.01667
GBIF,Quercus engelmannii,-116.70833,33.01667
GBIF,Quercus engelmannii,-116.693319,33.01683
GBIF,Quercus engelmannii,-116.805067,33.017167
GBIF,Quercus engelmannii,-116.805133,33.017367
GBIF,Quercus engelmannii,-117.022909,33.017777
GBIF,Quercus engelmannii,-116.821969,33.018279
GBIF,Quercus engelmannii,-116.821942,33.018334
GBIF,Quercus engelmannii,-116.821725,33.018564
GBIF,Quercus engelmannii,-116.821632,33.01866
GBIF,Quercus engelmannii,-116.809783,33.018667
GBIF,Quercus engelmannii,-116.821524,33.018686
GBIF,Quercus engelmannii,-116.8054,33.018767
GBIF,Quercus engelmannii,-116.793944,33.018781
GBIF,Quercus engelmannii,-116.821439,33.019258
GBIF,Quercus engelmannii,-116.794133,33.0193
GBIF,Quercus engelmannii,-116.793817,33.0194
GBIF,Quercus engelmannii,-116.820913,33.02018
GBIF,Quercus engelmannii,-116.82104,33.020427
GBIF,Quercus engelmannii,-116.681313,33.021467
GBIF,Quercus engelmannii,-116.665253,33.021591
GBIF,Quercus engelmannii,-116.801517,33.022283
GBIF,Quercus engelmannii,-116.80069,33.022325
GBIF,Quercus engelmannii,-116.800667,33.022392
GBIF,Quercus engelmannii,-116.960995,33.022513
GBIF,Quercus engelmannii,-116.67566,33.022658
GBIF,Quercus engelmannii,-116.804975,33.024242
GBIF,Quercus engelmannii,-116.690846,33.024476
GBIF,Quercus engelmannii,-116.82048,33.0268
GBIF,Quercus engelmannii,-116.68603,33.02731
GBIF,Quercus engelmannii,-116.6713,33.0274
GBIF,Quercus engelmannii,-116.66135,33.030192
GBIF,Quercus engelmannii,-116.67174,33.03054
GBIF,Quercus engelmannii,-116.77035,33.030633
GBIF,Quercus engelmannii,-116.657997,33.031192
GBIF,Quercus engelmannii,-116.6512,33.0326
GBIF,Quercus engelmannii,-116.83333,33.03333
GBIF,Quercus engelmannii,-116.955409,33.034066
GBIF,Quercus engelmannii,-116.95211,33.03658
GBIF,Quercus engelmannii,-116.564919,33.036764
GBIF,Quercus engelmannii,-116.6482,33.037095
GBIF,Quercus engelmannii,-116.673958,33.038147
GBIF,Quercus engelmannii,-117.11989,33.03831
GBIF,Quercus engelmannii,-116.651282,33.038632
GBIF,Quercus engelmannii,-116.62816,33.0393
GBIF,Quercus engelmannii,-116.868,33.0418
GBIF,Quercus engelmannii,-116.682037,33.042969
GBIF,Quercus engelmannii,-116.656647,33.043592
GBIF,Quercus engelmannii,-116.63995,33.04379
GBIF,Quercus engelmannii,-116.6576,33.044086
GBIF,Quercus engelmannii,-116.679162,33.044486
GBIF,Quercus engelmannii,-116.658195,33.044495
GBIF,Quercus engelmannii,-116.80417,33.04583
GBIF,Quercus engelmannii  Greene,-116.804167,33.045833
GBIF,Quercus engelmannii,-116.67433,33.04625
GBIF,Quercus engelmannii,-116.654783,33.046452
GBIF,Quercus engelmannii,-116.653637,33.048047
GBIF,Quercus engelmannii,-116.655478,33.048072
GBIF,Quercus engelmannii,-116.6375,33.04944
GBIF,Quercus engelmannii,-116.6262,33.05
GBIF,Quercus engelmannii,-116.7797,33.0529
GBIF,Quercus engelmannii,-116.80417,33.05333
GBIF,Quercus engelmannii,-116.946119,33.056558
GBIF,Quercus engelmannii,-116.946261,33.0566
GBIF,Quercus engelmannii,-116.815242,33.057494
GBIF,Quercus engelmannii,-116.815597,33.057803
GBIF,Quercus engelmannii,-117.07013,33.05886
GBIF,Quercus engelmannii,-116.801889,33.061389
GBIF,Quercus engelmannii,-116.80191,33.06144
GBIF,Quercus engelmannii,-116.8125,33.0625
GBIF,Quercus engelmannii,-117.11889,33.06256
GBIF,Quercus engelmannii,-117.1189,33.0626
GBIF,Quercus engelmannii,-117.11889,33.06261
GBIF,Quercus engelmannii,-117.0806,33.0644
GBIF,Quercus engelmannii,-116.749228,33.0682
GBIF,Quercus engelmannii,-116.54613,33.06883
GBIF,Quercus engelmannii,-117.165414,33.070703
GBIF,Quercus engelmannii,-116.540694,33.072251
GBIF,Quercus engelmannii,-117.226723,33.072517
GBIF,Quercus engelmannii,-116.54072,33.07261
GBIF,Quercus engelmannii,-117.11786,33.073956
GBIF,Quercus engelmannii,-117.11814,33.07453
GBIF,Quercus engelmannii,-117.11814,33.07453
GBIF,Quercus engelmannii,-116.5371,33.0747
GBIF,Quercus engelmannii,-117.15611,33.075
