coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
23059323,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:a2d85036-3f51-478e-894a-eaae8b347932,"2020-02-13 13:52:16"
23059324,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:a549c0f9-0e0e-41a2-bab2-d0c030fdcb5e,"2020-02-13 13:52:16"
23059325,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:7062d143-62c7-4e77-8be2-fe3c01cd6683,"2020-02-13 13:52:16"
23059326,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:adecc58d-e4db-42a4-9eac-8e0dc6d9361b,"2020-02-13 13:52:16"
23059327,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:f08e09cc-f3ff-41b8-9eff-aecebdac2049,"2020-02-13 13:52:16"
23059328,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:fd72c61b-c401-4c65-9dc8-90ea99b58a12,"2020-02-13 13:52:16"
23059329,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:cb8bb347-68c7-4554-bfd3-05e55b255507,"2020-02-13 13:52:16"
23059330,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:e9c49d73-e6cd-4038-b57d-7cd7ee7b2aad,"2020-02-13 13:52:16"
23059356,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:6958fed7-aad3-4fa4-bdef-92ff93dfd7d9,"2020-02-13 13:52:16"
23059357,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:a7835208-0139-47cf-b4e1-231f8906359c,"2020-02-13 13:52:16"
23059360,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:dafccd3f-8d50-450f-b7bf-40559e3e172a,"2020-02-13 13:52:16"
23059376,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:fa0df54f-4a5a-4040-a345-51552e9e1a41,"2020-02-13 13:52:16"
23059377,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:6ea744b9-6b61-4046-af63-9dca59afecbb,"2020-02-13 13:52:16"
23059378,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:cc7a3035-1ba2-4d17-973c-2805adeff29d,"2020-02-13 13:52:16"
23059379,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:491bcc97-d77f-4208-9966-56bd32aadac6,"2020-02-13 13:52:16"
23059380,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:8b49c506-130a-455a-abb5-bc5c9fd5a077,"2020-02-13 13:52:16"
23059381,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:2fe4ad8f-b62d-428b-bde4-b0fd727326cd,"2020-02-13 13:52:16"
23059382,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:f22a6c03-0509-43a8-aa55-2f62b11e5f31,"2020-02-13 13:52:16"
23059383,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:3aac4681-3f3f-48c6-82e6-bd0f78bf566e,"2020-02-13 13:52:16"
23059384,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:f50790aa-7f0e-402f-b3b2-bb5ca41a2b58,"2020-02-13 13:52:16"
