verbatimScientificName,decimalLongitude,decimalLatitude
Quercus (Quercus) cedrosensis,-113.667,28.833
Quercus (Quercus) cedrosensis,-113.667,28.833
Quercus (Quercus) cedrosensis,-113.667,28.833
Quercus (Quercus) cedrosensis,-113.666667,28.833333
Quercus (Quercus) cedrosensis,-113.666667,28.833333
Quercus (Quercus) cedrosensis,-113.666667,28.833333
Quercus (Quercus) cedrosensis,-113.633056,28.849944
Quercus (Quercus) cedrosensis,-113.783333,28.85
Quercus (Quercus) cedrosensis,-113.78333,28.85
Quercus (Quercus) cedrosensis,-113.641667,28.858333
Quercus (Quercus) cedrosensis,-113.625,28.908333
Quercus (Quercus) cedrosensis,-113.624972,28.908333
Quercus (Quercus) cedrosensis,-115.56094,30.17965
Quercus (Quercus) cedrosensis,-115.666639,30.366667
Quercus (Quercus) cedrosensis,-115.758333,30.491667
Quercus (Quercus) cedrosensis,-115.749917,30.495861
Quercus (Quercus) cedrosensis,-115.483278,30.750028
Quercus (Quercus) cedrosensis,-115.491667,30.758333
Quercus (Quercus) cedrosensis,-115.516667,30.766639
Quercus (Quercus) cedrosensis,-115.49975,30.783361
Quercus (Quercus) cedrosensis,-115.6704,30.8709
Quercus (Quercus) cedrosensis,-115.649833,30.88325
Quercus (Quercus) cedrosensis,-115.633278,30.899972
Quercus (Quercus) cedrosensis,-115.683139,30.966694
Quercus (Quercus) cedrosensis,-116.274176,31.10572743
Quercus (Quercus) cedrosensis,-116.2551,31.1386
Quercus (Quercus) cedrosensis,-116.2475,31.1607
Quercus (Quercus) cedrosensis,-116.33325,31.241778
Quercus (Quercus) cedrosensis,-116.308333,31.258389
Quercus (Quercus) cedrosensis,-116.333333,31.283333
Quercus (Quercus) cedrosensis,-116.3435181,31.29260488
Quercus (Quercus) cedrosensis,-116.3341,31.2943
Quercus (Quercus) cedrosensis,-116.2551,31.2943
Quercus (Quercus) cedrosensis,-116.3167,31.3
Quercus (Quercus) cedrosensis,-116.31667,31.3
Quercus (Quercus) cedrosensis,-116.3167,31.3
Quercus (Quercus) cedrosensis,-116.316833,31.300139
Quercus (Quercus) cedrosensis,-116.33,31.32
Quercus (Quercus) cedrosensis,-116.33,31.32
Quercus (Quercus) cedrosensis,-116.407,31.3347
Quercus (Quercus) cedrosensis,-116.40694,31.33472
Quercus (Quercus) cedrosensis,-116.4919,31.5738
Quercus (Quercus) cedrosensis,-116.533,31.583
Quercus (Quercus) cedrosensis,-116.533444,31.583278
Quercus (Quercus) cedrosensis,-116.465808,31.64385
Quercus (Quercus) cedrosensis,-116.6586,31.7151
Quercus (Quercus) cedrosensis,-116.6586,31.7151
Quercus (Quercus) cedrosensis,-116.6586,31.7151
Quercus (Quercus) cedrosensis,-116.4298457,31.81872041
Quercus (Quercus) cedrosensis,-116.21667,31.88333
Quercus (Quercus) cedrosensis,-116.6,31.9333
Quercus (Quercus) cedrosensis,-116.599917,31.933306
Quercus (Quercus) cedrosensis,-116.608333,31.941667
Quercus (Quercus) cedrosensis,-116.6,31.954028
Quercus (Quercus) cedrosensis,-116.600083,31.95825
Quercus (Quercus) cedrosensis,-116.65825,31.95825
Quercus (Quercus) cedrosensis,-116.6604,31.9606
Quercus (Quercus) cedrosensis,-116.599917,31.966667
Quercus (Quercus) cedrosensis,-116.633,31.9667
