Source,scientificName,decimalLongitude,decimalLatitude
GBIF,Quercus arkansana Sarg.,-93.8325,33.6608
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.832684,33.661231
SEINET,Quercus arkansana,-93.839293,33.660445
SEINET,Quercus arkansana,-93.857605,33.690871
SEINET,Quercus arkansana,-93.86145,33.73682
GBIF,Quercus arkansana,-93.86993,33.68678
GBIF,Quercus arkansana,-93.86993,33.68678
GBIF,Quercus arkansana,-93.898724,33.787134
SEINET,Quercus arkansana,-93.911455,33.06767
SEINET,Quercus arkansana,-94.018,32.991
GBIF,Quercus arkansana,-94.018,32.991
SEINET,Quercus arkansana,-94.023828,33.008708
GBIF,Quercus arkansana Sarg.,-94.064064,31.00855
GBIF,Quercus arkansana,-94.186396,31.15949
SEINET,Quercus arkansana,-94.371487,32.548133
