gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2421686939	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-U6tdg3CpqRJ6v9kugDaaYj/resize:4000/format:jpeg											
2421686918	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-XyT79HLTZii3aEcU4rTZrE/resize:4000/format:jpeg											
2421686814	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-MgdgBMFeHvmne5L2qV9tGg/resize:4000/format:jpeg											
2421686645	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-scCkggbQPKv3t2qmrxNaqh/resize:4000/format:jpeg											
2421686618	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-gjp55SSVZFAgAC4m5UHVaQ/resize:4000/format:jpeg											
2421686604	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-tRoWuaWf48cSguEbu7gXhH/resize:4000/format:jpeg											
2421686450	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-ikrCRRhMMTpFBLikyeoSde/resize:4000/format:jpeg											
2421686336	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-tduzaK58NrZ8qwasSJrRoZ/resize:4000/format:jpeg											
2421686197	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-gZxGc9KPbUZrhV83c48y9C/resize:4000/format:jpeg											
2421686177	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-iG7Nc9yxcWgyeuCdg9rZui/resize:4000/format:jpeg											
2421686123	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-tYQEyisNUU7fqZg9cRqsyY/resize:4000/format:jpeg											
2421686082	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-tAPACmUYxv3S6Qh8wgcHZ7/resize:4000/format:jpeg											
2421686012	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-sj4XeVq6X86QgMRTaaxasn/resize:4000/format:jpeg											
2421685890	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-ztCJ2mDkCNW5KWfti6YPGD/resize:4000/format:jpeg											
2421685714	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-ofA9t2cixahTwkxrGwNpw8/resize:4000/format:jpeg											
2421685711	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-G6STNb9iXeBcUicT5KRXQk/resize:4000/format:jpeg											
2421685522	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-x3e99HYNbCje7rCXqfPpuh/resize:4000/format:jpeg											
2421685309	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-MMJEd7xPPombG7EAaMeWNj/resize:4000/format:jpeg											
2421685247	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-Sg3Xs9AzUrpQE2fuFDLGP5/resize:4000/format:jpeg											
2421673092	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-qTuQVdUt8QpRLz2d5XCimc/resize:4000/format:jpeg											
2421672702	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-y7C6YaMRQxwC7tqLVcvHsH/resize:4000/format:jpeg											
2421672693	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-fu9GCuemGuuLSCh6M26mam/resize:4000/format:jpeg											
2421672591	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-JoSe3tyRyunsLuadAViwQL/resize:4000/format:jpeg											
2421672581	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-fchEAf3g4nnwwXj2BkDMMn/resize:4000/format:jpeg											
2421672562	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-aVCq5UPhh9nDRxSSc7h5h/resize:4000/format:jpeg											
2421672557	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-bZQDKyyf3CXzJwtgpZSfa4/resize:4000/format:jpeg											
2421672550	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-RS5oAL6WH2zGx8dc9ydZGL/resize:4000/format:jpeg											
2418009415	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-TKo2HUU64a8dTUAWnMr36Z/resize:4000/format:jpeg											
2417982569	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-oYuBxAdjZ7T3YLnoxEDyaj/resize:4000/format:jpeg											
2417956580	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-fnhzeKsdwy9iLR6gSxNJhN/resize:4000/format:jpeg											
2417951408	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-6XxWKHkXch6Zu93WSiUAFA/resize:4000/format:jpeg											
2413155759	StillImage	image/jpeg	https://api.idigbio.org/v2/media/9b84d0d6e438a8a6e114435e008857b7											
2412538329	StillImage	image/jpeg	https://api.idigbio.org/v2/media/2ad57a59f18b271656a08060747c27e8											
2397816823	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m37871ae8b-86be-4c09-940b-426586d4d89c		03405425.tif	Barcode 03405425	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397816337	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m396408ea1-bd3a-4c78-9f3e-014e19001dee		03408975.tif	Barcode 03408975	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397815908	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3aef25197-c8c9-422d-98c0-89cda32d7469		03404521.tif	Barcode 03404521	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
