id,scientificName,decimalLongitude,decimalLatitude
SEINET,Quercus cedrosensis,-113.916667,28.783333
GBIF,Quercus cedrosensis,-113.916667,28.783333
SEINET,Quercus cedrosensis,-113.783333,28.85
SEINET,Quercus cedrosensis,-113.783333,28.85
SEINET,Quercus cedrosensis,-113.783333,28.85
GBIF,Quercus cedrosensis,-113.783333,28.85
GBIF,Quercus cedrosensis,-113.78333,28.85
SEINET,Quercus cedrosensis,-113.67,28.83
SEINET,Quercus cedrosensis,-113.66667,28.83333
SEINET,Quercus cedrosensis,-113.66667,28.83333
SEINET,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis,-113.66667,28.83333
GBIF,Quercus cedrosensis C.H. Muller,-113.666667,28.833333
GBIF,Quercus cedrosensis C.H. Muller,-113.666667,28.833333
SEINET,Quercus cedrosensis,-113.6333333,28.7166667
SEINET,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis,-113.633333,28.716667
GBIF,Quercus cedrosensis  C.H. Mull.,-113.633333,28.716667
GBIF,Quercus cedrosensis  C.H. Mull.,-113.633333,28.85
SEINET,Quercus cedrosensis,-113.63333,28.71667
GBIF,Quercus cedrosensis,-113.63333,28.71667
GBIF,Quercus cedrosensis,-113.63,28.72
SEINET,Quercus cedrosensis,-113.625,28.9083333
GBIF,Quercus cedrosensis,-113.625,28.908333
GBIF,Quercus cedrosensis  C.H. Mull.,-113.625,28.908333
SEINET,Quercus cedrosensis,-113.60361,28.73778
SEINET,Quercus cedrosensis,-113.60361,28.73778
SEINET,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.60361,28.73778
GBIF,Quercus cedrosensis,-113.58659,28.90172
GBIF,Quercus cedrosensis,-113.57501,28.7103
GBIF,Quercus cedrosensis,-113.57501,28.7103
GBIF,Quercus cedrosensis,-113.57143,28.82716
GBIF,Quercus cedrosensis,-113.55041,28.68395
GBIF,Quercus cedrosensis  C.H. Mull.,-113,27.516667
GBIF,Quercus cedrosensis  C.H. Mull.,-113,27.516667
