coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
2066645,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00016/DES00016620_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00016/DES00016620_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00016/DES00016620_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00016/DES00016620.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:72d4d8fe-01dd-472b-bdf7-cf0c527168d0,"2012-03-14 14:10:14",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066645,StillImage,Photograph,en
2066646,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022704_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022704_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022704_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022704.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8c5d303f-cd56-4f68-9a6f-4e52398bde04,"2012-03-14 14:11:12",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066646,StillImage,Photograph,en
2066647,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00038/DES00038097_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00038/DES00038097_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00038/DES00038097_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00038/DES00038097.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7a0f094d-973e-48d7-b928-6d8a59c7d228,"2012-03-14 14:13:59",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066647,StillImage,Photograph,en
2066648,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044248_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044248_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044248_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044248.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:42a01177-2bd2-442b-80fc-bf626884c1ff,"2012-03-14 14:14:37",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066648,StillImage,Photograph,en
2066649,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044240_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044240_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044240_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00044/DES00044240.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:71cec49a-d1f3-47d1-9869-3686311aa76c,"2012-03-14 14:14:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066649,StillImage,Photograph,en
2066650,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023014_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023014_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023014_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023014.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ee619b2b-41cb-4794-ac7d-1f988ed4b498,"2012-03-14 14:11:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066650,StillImage,Photograph,en
2066651,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023015_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023015_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023015_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023015.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e1a34d91-12ea-4d28-8da6-8938096ddabe,"2012-03-14 14:11:27",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066651,StillImage,Photograph,en
2066652,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023736_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023736_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023736_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00023/DES00023736.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:848bc00b-f7ce-49ce-bb40-c3245f1a3e65,"2012-03-14 14:11:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066652,StillImage,Photograph,en
2077950,https://api.idigbio.org/v2/media/89aa8d26517130ed3bf07d3ef9a36f08,https://api.idigbio.org/v2/media/89aa8d26517130ed3bf07d3ef9a36f08,https://api.idigbio.org/v2/media/89aa8d26517130ed3bf07d3ef9a36f08?size=thumbnail,https://api.idigbio.org/v2/media/89aa8d26517130ed3bf07d3ef9a36f08?size=webview,,"Deaver Herbarium","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:ec1517e4-dc95-47dd-aea7-9dbde6aa14df,"2019-03-08 17:27:44",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2077950,StillImage,Photograph,en
2087152,https://api.idigbio.org/v2/media/c702d2efd6dfb7de9cb062c98070a5bf,https://api.idigbio.org/v2/media/c702d2efd6dfb7de9cb062c98070a5bf,https://api.idigbio.org/v2/media/c702d2efd6dfb7de9cb062c98070a5bf?size=thumbnail,https://api.idigbio.org/v2/media/c702d2efd6dfb7de9cb062c98070a5bf?size=webview,,"Deaver Herbarium","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:1a4afc76-0f84-49e6-8bc9-5f04c1fb38d0,"2019-03-08 17:27:41",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2087152,StillImage,Photograph,en
