id,decimalLongitude,decimalLatitude
SEINET,-111.979414,34.733095
SEINET,-111.881733,36.731983
SEINET,-111.881733,36.731983
SEINET,-111.881733,36.731983
SEINET,-111.881733,36.731983
SEINET,-111.88173,36.73198
SEINET,-111.88167,36.73194
SEINET,-111.88167,36.73194
SEINET,-111.78111,36.995
SEINET,-111.78111,36.995
SEINET,-111.77716,36.98815
SEINET,-111.77716,36.98815
SEINET,-111.772233,36.976436
SEINET,-111.772233,36.976436
SEINET,-111.772233,36.976436
SEINET,-111.772233,36.976436
SEINET,-111.772233,36.976436
SEINET,-111.772233,36.976436
SEINET,-111.68,36.9084
SEINET,-111.68,36.9084
SEINET,-111.55,36.7833
SEINET,-111.55,36.7833
SEINET,-111.53976,36.78582
SEINET,-111.53976,36.78582
SEINET,-111.536857,36.783656
SEINET,-111.536857,36.783656
SEINET,-111.536857,36.783656
SEINET,-111.536857,36.783656
SEINET,-111.52472,36.4125
SEINET,-111.510303,36.879645
SEINET,-111.473,36.9086
SEINET,-111.473,36.9086
SEINET,-111.473,36.9086
SEINET,-111.473,36.9086
SEINET,-111.47278,36.763594
SEINET,-111.111,36.7833
SEINET,-111.111,36.7833
SEINET,-110.82095,36.67422
SEINET,-110.82095,36.67422
SEINET,-110.82095,36.67422
SEINET,-110.721107,39.009029
SEINET,-110.601891,38.065246
SEINET,-110.601891,38.065246
SEINET,-110.575278,37.961111
SEINET,-110.575278,37.961111
SEINET,-110.568792,38.000057
SEINET,-110.519017,37.382164
SEINET,-110.519017,37.382164
SEINET,-110.5075,37.3872222
SEINET,-110.505692,37.421121
SEINET,-110.505692,37.421121
SEINET,-110.505444,37.420994
SEINET,-110.505444,37.420994
SEINET,-110.4589,37.4044
SEINET,-110.4465,38.5361
SEINET,-110.277923,36.845459
SEINET,-110.277923,36.845459
SEINET,-110.277923,36.845459
SEINET,-110.259347,36.840556
SEINET,-110.259347,36.840556
SEINET,-110.254577,36.887209
SEINET,-110.254577,36.872797
SEINET,-110.254577,36.887209
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.254,36.7278
SEINET,-110.25,36.9167
SEINET,-110.25,36.9167
SEINET,-110.25,36.91667
SEINET,-110.25,36.9167
SEINET,-110.25,36.9167
SEINET,-110.2411,36.8998
SEINET,-110.2411,36.8998
SEINET,-110.2337,36.9001
SEINET,-110.23294,36.91233
SEINET,-110.21853,36.92125
SEINET,-110.187816,37.660514
SEINET,-110.187816,37.660514
SEINET,-110.187816,37.660514
SEINET,-110.167,36.6667
SEINET,-110.167,36.6667
SEINET,-110.161611,37.423139
SEINET,-110.161611,37.423139
SEINET,-110.134,36.617611
SEINET,-110.134,36.617611
SEINET,-110.1338889,36.6175
SEINET,-110.1338889,36.6175
SEINET,-110.100358,36.604628
SEINET,-110.08606,36.70289
SEINET,-110.084,36.9167
SEINET,-110.0833333,36.5222222
SEINET,-110.082345,36.527222
SEINET,-110.0823,36.5272
SEINET,-110.082,36.5272
SEINET,-110.06868,37.06437
SEINET,-110.06868,37.06437
SEINET,-110.028056,37.830278
SEINET,-109.997311,38.584944
SEINET,-109.976333,37.236944
SEINET,-109.976333,37.236944
SEINET,-109.976333,37.236944
SEINET,-109.97309,37.23395
SEINET,-109.97309,37.23395
SEINET,-109.965611,37.231139
SEINET,-109.965611,37.231139
SEINET,-109.956,37.3238
SEINET,-109.9533,37.3208
SEINET,-109.9333,36.9667
SEINET,-109.91227,37.24165
SEINET,-109.753631,36.965176
SEINET,-109.724952,38.761722
